Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2TN9AzxcKsNkOIfbHOxipD,"Dream It","Dream It","D'Swing;Danny Kane",2026-06-26,286418,12,false,1130795251,2026-07-01T06:50:14Z,"nu disco,disco house","Razor-N-Tape",0.744,0.84,1,-7.464,1,0.0663,0.134,0.0185,0.307,0.915,120.254,4
spotify:track:0J935C9lkKcr1qPMWdk7pf,"Diagonal Wave","Diagonal Wave EP","Serious A",2026-06-26,230163,7,false,1130795251,2026-07-01T06:51:14Z,"","Star Creature Universal Vibrations",0.806,0.778,2,-10.692,0,0.0418,0.152,0.916,0.0858,0.339,121.999,4
spotify:track:3aN98BUq8ictAeeb2UshaH,"Lights Out","Lights Out","Pearl & The Oysters",2026-06-23,236640,26,false,1130795251,2026-07-01T06:53:39Z,"","Stones Throw Records",0.578,0.538,2,-6.253,0,0.0435,0.138,0.0149,0.095,0.68,146.031,4
spotify:track:6rRsvY4R2gM902KqjlPEHc,"Where We Started","Where We Started","STREETON;David Kayode",2026-06-23,246250,16,false,1130795251,2026-07-01T06:55:44Z,"nu jazz,indie jazz,uk funky","Sonar Kollektiv",0.7,0.744,9,-9.873,0,0.0632,0.0488,0.819,0.381,0.817,130,4
spotify:track:6zZVbIL3XxvJ1sPLi52d2P,"Broken Record","Broken Record","Audrey Powne",2026-05-15,253773,18,false,1130795251,2026-07-01T06:58:57Z,"","BBE Music",0.373,0.452,9,-7.419,0,0.0479,0.785,0.018,0.0799,0.263,92.533,4
spotify:track:3Bk6FqMdbOgAb9L8IaRUrO,"Day Dreaming","Day Dreaming","Detroit Rising;Kaidi Tatham",2026-06-12,320631,20,false,1130795251,2026-07-01T09:24:41Z,"jazz house,nu jazz,indie jazz,jazz funk","Down Jazz Records",0.548,0.639,0,-8.894,1,0.0646,0.0952,0.0588,0.115,0.583,114.984,4
spotify:track:2NSqeqPLQaGpooZoNr9n9x,"Three O'Clock In The Morning","Three O'Clock In The Morning","Joseph",2026-07-01,202509,16,false,1130795251,2026-07-01T09:29:18Z,"","Mr Bongo",0.431,0.792,11,-7.338,0,0.0762,0.579,0.00000688,0.0974,0.757,101.081,4
spotify:track:5hNsW0rhB86uj234uq3O0I,"Equatoriale","Equatoriale","Souldynamic",2015-03-16,370500,23,false,1130795251,2026-07-01T20:51:58Z,"","Tribe Records",0.749,0.855,6,-6.248,1,0.0485,0.000217,0.63,0.0436,0.906,125.002,4
spotify:track:7e4zDInS6tA2jwzphvs2Ay,"Jamaican (Bam Bam)","Jamaican (Bam Bam)","HUGEL;SOLTO (FR)",2025-11-07,156393,95,false,1130795251,2026-07-02T15:06:56Z,"latin house,afro house,techengue,house","MoBlack Records",0.87,0.944,9,-4.525,1,0.0464,0.394,0.243,0.0398,0.635,121.979,4
spotify:track:3QD1IMi1YHIsicRFvUyo2X,"Emotions (feat. Mndsgn)","Dirty Talk: Sunshine Hotline Mixes","Michi;Mndsgn",2026-07-01,206240,32,false,1130795251,2026-07-02T16:07:17Z,"latin indie","Stones Throw Records",0.443,0.769,1,-7.577,1,0.0814,0.114,0.19,0.335,0.359,139.507,3
